year,team,team_slug,page_url,module_id,module_name,page_anchor,biological_question,model_archetype,method_summary,data_source,parameter_provenance,validation_type,project_decision,evidence_scope,reproduction_path,limitations,last_checked
2025,Peking,peking,https://2025.igem.wiki/peking/model/,dissolution-kinetics,pH-sensitive microsphere dissolution,#dissolution-kinetics-modeling-of-ph-sensitive-microspheres,How quickly will the protective microsphere shell dissolve under different pH conditions,mechanistic-kinetic,First-order dissolution with a pH-dependent rate constant,team-experiment;simulated;assumed,team-measured;team-fitted;assumed,experimental-comparison;illustrative-only,design-selection;interpretation,partially-validated,method-described,The fitted demonstration table is simulated and the later experiment provides only bounded qualitative agreement,2026-09-09
2025,Peking,peking,https://2025.igem.wiki/peking/model/,microsphere-propulsion,Acid-driven microsphere propulsion,#propulsion-model-of-micropheres-in-acidic-solution,What speed can a calcium-carbonate micromotor sustain in acidic gastric fluid,mechanistic-kinetic,Low-Reynolds-number drag and reaction-driven motion solved as an equation of motion,literature;simulated;assumed,literature-derived;derived;assumed,literature-benchmark,design-selection;interpretation,literature-benchmarked,method-described,The calculation assumes ideal spherical motion and does not establish safety or in-vivo propulsion,2026-09-09
2025,Peking,peking,https://2025.igem.wiki/peking/model/,gastric-diffusion,Gastric microsphere diffusion,#mathematical-modeling-of-microsphere-diffusion-in-the-stomach,How do microspheres move adhere and leave an idealized gastric cavity,stochastic;spatial-multiscale,Brownian particle motion with fluid flow boundary adhesion and outlet states,literature;simulated;assumed,literature-derived;assumed,internal-consistency,design-selection;interpretation,illustrative,method-described,The reported adhesion fraction depends on idealized geometry probabilities and flow assumptions without biological validation,2026-09-09
2025,Peking,peking,https://2025.igem.wiki/peking/model/,mucus-penetration,Mucus-layer penetration,#physical-modeling-of-the-penetration-process-of-microspheres-through-gastric-mucus-layer,Under what velocity radius and angle can a microsphere cross gastric mucus,mechanistic-kinetic;spatial-multiscale,Energy-balance criterion for motion through a uniform Newtonian mucus layer,literature;simulated;assumed,literature-derived;derived;assumed,internal-consistency,design-selection;interpretation,internally-checked,method-described,Uniform-fluid and rigid-sphere assumptions limit translation to heterogeneous living mucus,2026-09-09
2025,Peking,peking,https://2025.igem.wiki/peking/model/,hopq-adhesion-md,HopQ-C1ND adhesion dynamics,#molecular-dynamics-simulation-analysis-of-the-hopq-c1nd-protein-complex,Is the proposed adhesion complex structurally stable under simulated physiological conditions,structural-sequence;spatial-multiscale,All-atom molecular dynamics with equilibrium stability flexibility and interaction analyses,public-database;literature;simulated,literature-derived;tool-default,internal-consistency;literature-benchmark,design-selection;interpretation,internally-checked,method-described,Simulation stability does not demonstrate cellular adhesion or binding strength in the intended biological context,2026-09-09
2025,Peking,peking,https://2025.igem.wiki/peking/model/,gpcr-signaling,GPCR screening and signal transduction,#modeling-and-analysis-of-gpcr-signaling-pathway,Which engineered GPCR designs are promising and how might their downstream signal evolve,mechanistic-kinetic;structural-sequence;hybrid,Docking and membrane molecular dynamics feed an ODE description of the G-protein and MAPK pathway,public-database;literature;simulated;assumed,literature-derived;tool-default;assumed,internal-consistency;literature-benchmark,design-selection;interpretation,partially-validated,method-described,Several trajectories do not fully converge and many kinetic parameters are literature-derived or assumed rather than fitted to the engineered system,2026-09-09
2025,Peking,peking,https://2025.igem.wiki/peking/model/,aiia-diffusion,AiiA spatial diffusion,#aiia-protein-diffusion-modeling,How does secreted AiiA concentration change over space and time around engineered yeast,mechanistic-kinetic;spatial-multiscale,Reaction-diffusion equation with degradation and numerical discretization,literature;simulated;assumed,literature-derived;derived;assumed,literature-benchmark,design-selection;interpretation,literature-benchmarked,method-described,Predicted therapeutic ranges depend on simplified geometry and literature parameters without direct spatial measurements,2026-09-09
2025,Peking,peking,https://2025.igem.wiki/peking/model/,seir-population,Improved SEIR intervention model,#improved-seir-model-to-simulate-the-therapeutic-effect-of-hpbuster-on-h-pylori-infection,How could an intervention alter population-level H. pylori infection trajectories,mechanistic-kinetic,Compartmental epidemic model extending SIR with intervention terms,literature;simulated;assumed,literature-derived;assumed,illustrative-only,interpretation,illustrative,method-described;code-linked,Population forecasts are scenario demonstrations and do not validate clinical efficacy,2026-09-09
2025,Heidelberg,heidelberg,https://2025.igem.wiki/heidelberg/model,binder-generation,De novo protein binder generation,page-root,Which candidate binders can expand the ligand space of the synthetic receptor,data-driven-ml;structural-sequence,BindCraft and AlphaFold-based generation with confidence filtering before wet-lab testing,team-experiment;public-database;literature;simulated,tool-default;derived,experimental-comparison;internal-consistency,construct-selection;experimental-prioritization,partially-validated,method-described,The generation workflow is restricted to selected epitopes and candidate success remains assay-dependent,2026-09-09
2025,Heidelberg,heidelberg,https://2025.igem.wiki/heidelberg/model,binder-affinity,Binder affinity ranking,page-root,Which computational metric best prioritizes generated binders for experiments,structural-sequence;spatial-multiscale,Umbrella-sampling free-energy profiles and an ML comparator are ranked against a cell-free binding assay,team-experiment;literature;simulated,team-measured;literature-derived;tool-default,experimental-comparison;internal-consistency,construct-selection;experimental-prioritization,validated-with-team-data,method-described,The ranking uses five tested binders and the quantitative affinity interpretation of umbrella sampling remains method-sensitive,2026-09-09
