year,team,team_slug,page_url,model_archetype,validation_type,data_source,project_decision
2025,Peking,peking,https://2025.igem.wiki/peking/model/,mechanistic-kinetic;stochastic;structural-sequence;spatial-multiscale;hybrid,experimental-comparison;literature-benchmark;internal-consistency;illustrative-only,team-experiment;public-database;literature;simulated;assumed,design-selection;interpretation
2025,Heidelberg,heidelberg,https://2025.igem.wiki/heidelberg/model,mechanistic-kinetic;structural-sequence;data-driven-ml;spatial-multiscale;hybrid,experimental-comparison;literature-benchmark;internal-consistency;sensitivity-analysis,team-experiment;public-database;literature;simulated;assumed,design-selection;construct-selection;experimental-prioritization;interpretation
2025,Munich,munich,https://2025.igem.wiki/munich/model,mechanistic-kinetic;structural-sequence;data-driven-ml;spatial-multiscale;hybrid,experimental-comparison;internal-consistency;literature-benchmark,team-experiment;public-database;literature;simulated;assumed,design-selection;construct-selection;experimental-prioritization;interpretation
2025,SUSTech-BIO,sustech-bio,https://2025.igem.wiki/sustech-bio/model,mechanistic-kinetic;stochastic;spatial-multiscale;hybrid,experimental-comparison;cross-validation;literature-benchmark;internal-consistency,team-experiment;literature;simulated;assumed,design-selection;parameter-estimation;experimental-prioritization;interpretation
2025,GEMS-Taiwan,gems-taiwan,https://2025.igem.wiki/gems-taiwan/model,mechanistic-kinetic;structural-sequence;data-driven-ml,experimental-comparison;literature-benchmark,team-experiment;literature,construct-selection;experimental-prioritization
2025,Lambert-GA,lambert-ga,https://2025.igem.wiki/lambert-ga/model/,mechanistic-kinetic;spatial-multiscale,sensitivity-analysis;literature-benchmark,literature;public-database;assumed,design-selection;interpretation;future-work
2024,Heidelberg,heidelberg,https://2024.igem.wiki/heidelberg/model,structural-sequence;spatial-multiscale,internal-consistency;literature-benchmark,public-database;literature;simulated,construct-selection;experimental-prioritization
2024,Tsinghua,tsinghua,https://2024.igem.wiki/tsinghua/model,mechanistic-kinetic;hybrid,illustrative-only;literature-benchmark,literature;simulated;assumed;manually-constructed,interpretation;future-work
2023,ZJU-China,zju-china,https://2023.igem.wiki/zju-china/model,mechanistic-kinetic;spatial-multiscale;hybrid,experimental-comparison;literature-benchmark,team-experiment;literature;simulated,design-selection;interpretation
2023,Heidelberg,heidelberg,https://2023.igem.wiki/heidelberg/model,mechanistic-kinetic;data-driven-ml;hybrid,experimental-comparison;internal-consistency,team-experiment;public-database;simulated,construct-selection;experimental-prioritization;future-work
2022,Munich,munich,https://2022.igem.wiki/munich/model,mechanistic-kinetic;structural-sequence,experimental-comparison;literature-benchmark,team-experiment;literature;assumed,construct-selection;design-selection
2022,TU-Eindhoven,tu-eindhoven,https://2022.igem.wiki/tu-eindhoven/model,mechanistic-kinetic,experimental-comparison;sensitivity-analysis,team-experiment;literature;assumed,parameter-estimation;experimental-prioritization
2021,NUS-Singapore,NUS_Singapore,https://2021.igem.org/Team:NUS_Singapore/Model,mechanistic-kinetic,experimental-comparison;sensitivity-analysis,team-experiment;literature;assumed,design-selection;stopping-policy;experimental-prioritization;hardware-design;interpretation
2021,TAS-Taipei,TAS_Taipei,https://2021.igem.org/Team:TAS_Taipei/Model,mechanistic-kinetic;spatial-multiscale,experimental-comparison;literature-benchmark,team-experiment;literature;assumed,design-selection;hardware-design;future-work
